UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-08-01;SABADO;7424,96753;7112,58413;6889,94042;6777,15626;6772,58403;6809,8954;6822,23053;7290,95305;7787,4122;8177,60006;8488,48156;8676,18099;8798,8099;8728,8931;8625,00062;8462,06735;8293,6063599999;8153,53434;8709,9486;9186,78463;9021,52862;8671,34879;8143,35272;7645,10597;191469,96716
MC-SIN;Demanda_Real;2020-08-02;DOMINGO;7235,24352;6958,54768;6762,38572;6612,43269;6519,19909;6350,938;6099,26706;6374,83132;6757,06869;7107,42852;7398,94484;7711,41646;7892,04478;7914,48841;7805,38966;7719,48868;7587,0217;7461,60723;8147,14315;8701,40172;8706,01112;8424,27316;7986,08859;7519,2956;177751,95739
MC-SIN;Demanda_Real;2020-08-03;LUNES;7169,02778;6893,37273;6704,76721;6634,04843;6695,52446;6815,02116;7090,90609;7716,80716;8229,93871;8598,23144;8936,91043;9229,29802;9302,97704;9304,62711;9311,55204;9207,224;8931,58759;8618,16716;9081,26678;9538,81982;9394,77003;8994,86777;8417,24501;7757,46785;198574,42582
MC-SIN;Demanda_Real;2020-08-04;MARTES;7299,47794;7039,87478;6879,35705;6793,78644;6859,3620999999;6965,8113;7184,77932;7813,37838;8206,83554;8566,85546;8929,60981;9186,6247;9208,79416;9157,77374;9132,40924;9057,61318;8797,40042;8526,83071;9150,98719;9603,93964;9436,51473;9065,8515;8448,10073;7792,48415;199104,45221
MC-SIN;Demanda_Real;2020-08-05;MIERCOLES;7329,89189;7084,14096;6927,97995;6853,16934;6925,35703;7048,66262;7269,78093;7831,71598;8268,9695;8600,63455;8928,26937;9238,68468;9297,06513;9288,2743;9338,78343;9259,05361;9008,98021;8724,98609;9214,11683;9661,02246;9483,83006;9107,23654;8568,97154;7896,74092;201156,31792
MC-SIN;Demanda_Real;2020-08-06;JUEVES;7428,82796;7168,35603;7026,0794;6909,75255;6999,5662;7138,05245;7353,88742;7930,32825;8373,61661;8661,44525;8938,84932;9219,30055;9236,92848;9217,14877;9196,43735;9129,09769;8906,07148;8626,6868;9095,48401;9495,77117;9338,16153;8999,88325;8463,25358;7845,65006;200698,63616
MC-SIN;Demanda_Real;2020-08-07;7--AGO;7371,3576;7123,54727;6937,546;6805,85327;6795,06854;6744,52506;6637,00129;6960,43062;7332,9258;7685,3795;7989,7603;8321,24535;8483,82288;8496,27862;8375,15569;8227,28344;8059,28944;7952,8698;8656,32033;9173,63517;9039,5435;8691,62163;8296,2615;7758,2212;187914,9438
MC-SIN;Demanda_Real;2020-08-08;SABADO;7318,28381;6998,66702;6809,04712;6688,69191;6658,16296;6721,7057;6681,40911;7104,04088;7637,54041;7990,51522;8317,79108;8550,2726;8656,77271;8630,42451;8561,41732;8440,96482;8190,0939;8028,20733;8639,3517;9131,94376;8988,8693;8636,89644;8157,60693;7649,91047;189188,58701
MC-SIN;Demanda_Real;2020-08-09;DOMINGO;7263,79854;6944,67033;6703,75705;6582,01086;6516,5858;6379,24402;6151,60564;6379,2447;6741,40504;7049,44892;7297,43798;7599,3517;7807,74397;7840,48613;7738,7182;7638,55983;7507,23113;7472,46015;8234,94709;8773,52221;8708,00388;8413,57987;8016,87949;7547,91323;177308,60576
MC-SIN;Demanda_Real;2020-08-10;LUNES;7176,376;6946,77688;6763,8595;6654,54737;6729,06978;6886,98871;7146,82096;7858,49019;8360,9509;8666,37693;9050,6515;9349,29483;9464,8861699999;9445,80238;9376,95649;9306,25188;9060,9369;8765,8493099999;9246,29103;9662,05833;9518,12723;9147,03791;8580,00322;7919,25305;201083,65745
