UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-07-01;MIERCOLES;7231,96495;6972,8044;6815,07436;6731,47512;6781,93853;6877,90222;7056,95269;7667,51424;8147,3087;8452,42708;8756,6745;9034,14312;9090,38399;9098,37344;9113,34677;9029,7711;8736,12817;8555,11016;9013,99681;9389,83772;9261,59466;8849,96679;8281,30208;7627,52226;196573,51386
MC-SIN;Demanda_Real;2020-07-02;JUEVES;7203,77465;6943,8544;6764,92082;6682,84798;6715,71057;6831,41369;7050,19182;7631,88011;8133,58563;8398,0492699999;8712,18733;8981,5091;8926,31529;8814,94848;8817,72172;8844,11011;8597,20743;8337,95405;8813,59708;9177,43942;8957,61142;8566,78658;8036,04251;7411,35561;193351,01507
MC-SIN;Demanda_Real;2020-07-03;VIERNES;6955,90329;6766,42045;6556,18929;6482,87157;6561,14639;6692,41304;6918,05684;7585,69386;8080,21341;8344,48964;8569,02399;8832,12897;8946,22931;8944,87362;8983,30201;8955,17098;8748,42824;8517,66021;9004,3474;9468,71861;9334,78013;8913,85968;8428,57092;7810,04307;194400,53492
MC-SIN;Demanda_Real;2020-07-04;SABADO;7369,972;7081,75906;6886,91496;6786,7431;6780,39814;6814,6875;6823,16615;7307,83401;7773,29364;7985,55091;8285,53277;8537,24324;8571,64846;8468,56792;8318,29993;8183,53916;8038,27082;7897,85731;8522,71872;8857,5242;8663,64557;8241,70642;7755,46126;7238,41991;187190,75516
MC-SIN;Demanda_Real;2020-07-05;DOMINGO;6828,09476;6534,71554;6319,24713;6189,8321;6149,02645;6016,38764;5820,71087;6075,6344;6416,60713;6704,74084;7005,87774;7267,84513;7433,84246;7446,31221;7332,06179;7234,78873;7119,58419;7088,72667;7773,54819;8344,59921;8308,60867;8058,74911;7599,72803;7132,40001;168201,669
MC-SIN;Demanda_Real;2020-07-06;LUNES;6824,94567;6527,14925;6421,32511;6363,23906;6457,11945;6535,10149;6807,23438;7467,48221;7988,73896;8376,68742;8672,85943;8953,36995;9029,8721;9027,51941;9064,92219;8982,58841;8775,8418899999;8522,99345;8934,7168999999;9376,33096;9172,02053;8793,26028;8211,1244999999;7588,80694;192875,24994
MC-SIN;Demanda_Real;2020-07-07;MARTES;7180,77359;6929,19217;6748,90338;6661,68537;6732,14262;6872,46049;7087,52794;7658,71582;8182,19499;8459,51285;8754,6752099999;9026,87756;9065,97184;8766,55142;8824,85452;8776,63192;8539,94937;8300,16216;8769,80805;9134,24558;8949,55574;8522,96795;7888,8025;7261,64193;193095,80497
MC-SIN;Demanda_Real;2020-07-08;MIERCOLES;6896,57343;6675,44502;6499,43901;6443,80418;6525,63634;6682,1751;6939,15826;7495,30823;7991,22705;8264,28197;8453,07878;8802,32826;8859,87369;8813,28969;8847,80844;8778,28001;8545,16946;8323,27488;8832,87944;9243,08071;8985,69602;8471,97783;7966,3462;7381,18795;190717,31995
MC-SIN;Demanda_Real;2020-07-09;JUEVES;6968,67692;6726,03281;6545,7374;6460,98772;6550,687;6659,0254;6940,84095;7543,42711;8017,91122;8315,76424;8622,92215;8959,04134;8990,4883199999;8946,84856;8980,42222;8933,49586;8677,89525;8436,9327;8858,1132;9400,04509;9262,43907;8856,89388;8299,50779;7647,87506;193602,01126
MC-SIN;Demanda_Real;2020-07-10;VIERNES;7230,36967;6974,63474;6772,45028;6695,82232;6773,43399;6876,97369;7065,86749;7735,21853;8221,40165;8466,12922;8825,88179;9137,92476;9189,6836;9128,12914;9120,32176;9048,22972;8785,70058;8505,80123;9001,60027;9434,64434;9284,24892;8889,49843;8321,31364;7711,49674;197196,7765
MC-SIN;Demanda_Real;2020-07-11;SABADO;7289,41717;6999,99052;6754,28283;6604,75457;6655,8865;6726,12165;6767,69498;7215,19155;7668,19543;7943,33834;8174,07021;8374,17516;8346,46473;8179,74436;8046,02135;7955,20329;7841,95471;7783,75361;8421,86206;8754,12047;8508,22965;8086,55289;7523,6445;7021,28816;183641,95869
MC-SIN;Demanda_Real;2020-07-12;DOMINGO;6675,19035;6389,42755;6208,87549;6105,62602;6043,87612;5940,68991;5747,36056;6032,43688;6424,39616;6728,02405;6991,8104;7284,12839;7443,4384;7435,30781;7314,59766;7162,77822;7086,25347;7088,88721;7829,35686;8334,1554;8246,2416799999;7930,0579;7481,2005999999;7072,14199;166996,25908
MC-SIN;Demanda_Real;2020-07-13;LUNES;6740,3874;6489,92409;6332,94459;6283,94866;6391,59721;6529,80817;6791,45399;7456,45997;7990,46926;8325,48912;8666,47612;8986,51195;9054,24923;9059,481;9084,17663;9051,01555;8834,63527;8623,02328;9085,30108;9529,04515;9366,82002;8945,84108;8313,97833;7670,40124;193603,43839
MC-SIN;Demanda_Real;2020-07-14;MARTES;7164,8107;6947,10061;6709,8665;6532,71124;6607,63154;6713,43909;6940,43329;7543,91514;8072,35741;8383,99122;8648,07328;8865,08932;8893,32499;8955,36105;9031,55925;9010,26579;8805,115;8491,92614;8901,75812;9474,28733;9357,07253;8982,39866;8330,28783;7694,13876;195056,91479
MC-SIN;Demanda_Real;2020-07-15;MIERCOLES;7269,0144;7003,73721;6826,87152;6741,50815;6829,89735;6941,03359;7171,80715;7789,62553;8285,4818;8601,95719;8896,57684;9231,63802;9207,42149;9260,8572899999;9303,1602599999;9212,558;8955,18382;8973,95167;9521,24502;10057,90173;9954,61289;9582,23602;8995,55789;8353,15532;202966,99015
MC-SIN;Demanda_Real;2020-07-16;JUEVES;7361,49841;7094,4929;6857,06531;6773,05155;6814,85534;6906,94611;7130,38021;7742,95979;8222,92673;8537,02711;8850,78387;9122,14218;9145,77499;9162,33133;9228,83423;9102,88049;8816,44841;8527,34282;8952,66753;9465,568;9302,23996;8947,97415;8349,82824;7759,24623;198175,26589
MC-SIN;Demanda_Real;2020-07-17;VIERNES;7342,18682;7102,64657;6912,16767;6815,86792;6853,05893;6939,49008;7061,03594;7630,77124;8139,62792;8470,82135;8814,1831;9143,8697;9189,56949;9175,05106;9235,22104;9145,13053;8885,81798;8618,48513;8981,89802;9587,60655;9440,90975;9084,32182;8533,27522;7909,74058;199012,75441
MC-SIN;Demanda_Real;2020-07-18;SAALF;7478,89601;7152,52876;6896,38547;6763,76415;6801,82226;6787,17096;6804,27734;7281,12443;7787,21024;8128,93447;8491,52954;8770,88419;8828,13802;8728,68733;8597,519;8422,61071;8196,81631;8075,87101;8658,8639;9095,37707;8902,82519;8547,80448;8003,56146;7531,50445;190734,10675
