UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-06-01;LUNES;6322;6093;5959;5879;5964;6102;6330;6945;7459;7814;8175;8490;8570;8588;8550;8460;8257;8028;8673;9029;8849;8426;7834;7167;181964
MC-SIN;Demanda_Real;2020-06-02;MARTES;6751;6521;6347;6265;6359;6431;6660;7318;7779;8090;8385;8662;8725;8689;8634;8578;8361;8144;8784;9109;8937;8564;7971;7257;187320
MC-SIN;Demanda_Real;2020-06-03;MIERCOLES;6837;6606;6464;6379;6472;6575;6796;7348;7831;8138;8378;8625;8654;8674;8658;8589;8396;8196;8750;9118;8982;8590;7982;7345;188381
MC-SIN;Demanda_Real;2020-06-04;JUEVES;6941;6689;6526;6450;6545;6611;6847;7477;7964;8265;8574;8871;8906;8851;8859;8832;8565;8288;8912;9322;9154;8816;8235;7611;192110
MC-SIN;Demanda_Real;2020-06-05;VIERNES;7177;6895;6738;6650;6682;6716;6949;7553;8075;8393;8709;8996;9057;8951;8898;8861;8611;8322;8933;9314;9183;8825;8310;7689;194490
MC-SIN;Demanda_Real;2020-06-06;SABADO;7269;6934;6726;6607;6633;6610;6614;7041;7454;7834;8066;8294;8289;8114;7921;7805;7661;7583;8268;8648;8425;8060;7580;7119;181557
MC-SIN;Demanda_Real;2020-06-07;DOMINGO;6709;6460;6276;6138;6090;5885;5725;5997;6383;6717;7014;7294;7496;7543;7398;7243;7119;7088;7817;8311;8261;8001;7519;7069;167555
MC-SIN;Demanda_Real;2020-06-08;LUNES;6758;6530;6365;6282;6335;6445;6714;7389;7945;8304;8588;8880;8974;8990;9002;8938;8657;8348;8881;9362;9214;8824;8235;7621;191579
MC-SIN;Demanda_Real;2020-06-09;MARTES;7176;6877;6661;6597;6679;6711;6914;7517;8015;8327;8649;8956;8995;8994;8988;8859;8612;8361;8830;9097;8926;8499;7920;7283;192445
MC-SIN;Demanda_Real;2020-06-10;MIERCOLES;6853;6578;6422;6227;6283;6411;6673;7257;7702;7958;8235;8482;8522;8430;8427;8380;8169;7977;8588;8932;8673;8285;7717;7143;184326
MC-SIN;Demanda_Real;2020-06-11;JUEVES;6746;6481;6289;6259;6334;6407;6671;7270;7766;8077;8391;8660;8723;8715;8703;8601;8411;8184;8736;9097;8934;8538;7957;7361;187310
MC-SIN;Demanda_Real;2020-06-12;VIERNES;6920;6643;6480;6403;6407;6506;6716;7335;7826;8114;8362;8648;8759;8698;8649;8595;8368;8156;8716;9063;8953;8575;8007;7410;188308
MC-SIN;Demanda_Real;2020-06-13;SAALF;6980;6709;6502;6406;6410;6412;6502;7014;7519;7877;8182;8416;8491;8383;8240;8110;7923;7784;8414;8815;8658;8301;7783;7309;183141
MC-SIN;Demanda_Real;2020-06-14;DOALF;6914;6634;6408;6255;6158;6007;5843;6128;6493;6816;7069;7352;7515;7515;7408;7282;7144;7089;7787;8278;8213;7947;7533;7103;168891
MC-SIN;Demanda_Real;2020-06-15;LF;6747;6458;6245;6125;6069;6007;5850;6171;6522;6867;7216;7491;7660;7652;7547;7435;7274;7274;8068;8596;8450;8106;7600;7111;170542
MC-SIN;Demanda_Real;2020-06-16;MADLF;6751;6544;6377;6301;6403;6495;6753;7453;8007;8344;8658;8951;8994;9015;9017;8935;8702;8422;8974;9379;9241;8803;8211;7595;192326
MC-SIN;Demanda_Real;2020-06-17;MIERCOLES;7165;6942;6763;6661;6694;6757;6970;7569;8014;8258;8570;8833;8863;8834;8866;8813;8620;8354;8857;9260;9109;8664;8081;7440;192958
MC-SIN;Demanda_Real;2020-06-18;JUEVES;7039;6796;6649;6549;6612;6707;6931;7558;8064;8300;8712;8970;8989;8984;9052;8980;8816;8548;9007;9304;9134;8706;8116;7518;194041
MC-SIN;Demanda_Real;2020-06-19;VIERNES;7116;6880;6666;6566;6659;6746;6970;7593;8097;8376;8689;8976;9019;9016;9041;8968;8754;8496;9051;9458;9312;8890;8328;7732;195398
MC-SIN;Demanda_Real;2020-06-20;SAALF;7270;7003;6789;6659;6698;6677;6758;7254;7695;8010;8312;8535;8556;8378;8233;8079;7949;7883;8489;8832;8621;8248;7761;7287;185975
MC-SIN;Demanda_Real;2020-06-21;DOALF;6901;6624;6419;6281;6186;6001;5831;6132;6505;6837;7102;7369;7515;7442;7255;7098;6976;6936;7621;8111;8046;7848;7482;7045;167563
MC-SIN;Demanda_Real;2020-06-22;LF;6678;6436;6201;6049;6060;6021;5901;6181;6604;6955;7272;7562;7731;7713;7644;7517;7460;7442;8204;8699;8593;8263;7800;7289;172274
MC-SIN;Demanda_Real;2020-06-23;MADLF;6971;6710;6551;6464;6560;6654;6868;7538;8089;8401;8717;9005;9041;9021;9049;9027;8798;8497;8992;9396;9204;8844;8317;7661;194374
MC-SIN;Demanda_Real;2020-06-24;MIERCOLES;7178;6876;6698;6607;6679;6741;6938;7558;8027;8363;8738;9061;9110;9041;8016;7037;7013;7211;8151;8797;9018;8754;8192;7604;187409
MC-SIN;Demanda_Real;2020-06-25;JUEVES;7211;6948;6745;6655;6708;6780;6973;7594;8105;8394;8707;9004;9072;9069;9111;9047;8802;8548;9027;9489;9361;8964;8351;7734;196401
MC-SIN;Demanda_Real;2020-06-26;VIERNES;7256;6987;6793;6670;6734;6844;7060;7659;8089;8341;8648;8925;8989;8977;9023;8955;8688;8377;8892;9330;9147;8798;8217;7633;195033
MC-SIN;Demanda_Real;2020-06-27;SAALF;7235;6953;6739;6642;6658;6697;6751;7160;7632;7950;8230;8507;8548;8450;8343;8234;8049;7906;8512;8920;8764;8413;7933;7412;186638
MC-SIN;Demanda_Real;2020-06-28;DOALF;6975;6687;6504;6378;6289;6125;5927;6169;6494;6805;7025;7307;7457;7449;7318;7203;7080;7080;7784;8198;8060;7763;7355;6920;168352
MC-SIN;Demanda_Real;2020-06-29;LF;6533;6294;6144;6069;6066;6047;5935;6320;6762;7085;7447;7767;7935;7914;7864;7766;7623;7576;8215;8798;8668;8339;7870;7084;174122
MC-SIN;Demanda_Real;2020-06-30;MADLF;6927;6685;6538;6434;6534;6651;6887;7509;8059;8396;8742;9050;9131;9153;9166;9144;8876;8573;9067;9513;9359;8984;8432;7758;195566
