UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-09-01;MARTES;7207,51255;6980,09284;6819,66998;6738,97172;6813,83831;6967,68135;7182,93997;7826,19261;8337,98988;8689,31272;8998,68144;9256,28041;9268,98711;9245,89204;9287,63849;9168,56083;8917,06318;8647,21777;9343,51703;9554,75656;9383,36925;8957,88749;8323,62987;7634,32016;199552,00356
MC-SIN;Demanda_Real;2020-09-02;MIERCOLES;7213,68241;6945,02572;6784,89666;6687,61604;6772,11527;6944,55911;7183,11947;7765,32646;8220,35213;8447,3925;8723,91818;8997,14998;9010,64427;8986,82207;9003,08613;8940,62881;8752,32598;8483,21955;9222,55369;9454,23813;9199,7729;8770,76798;8183,20342;7516,05824;196208,4751
MC-SIN;Demanda_Real;2020-09-03;JUEVES;7110,32735;6885,37778;6735,8891;6662,63297;6766,61377;6911,35928;7192,42251;7843,59175;8381,92595;8745,05128;9009,14343;9331,68842;9314,43746;9250,26824;9216,25446;9152,25509;8972,58448;8703,46159;9378,75149;9637,13644;9446,24576;9032,62822;8434,70251;7757,85776;199872,60709
MC-SIN;Demanda_Real;2020-09-04;VIERNES;7298,74079;7032,36695;6883,39563;6808,98722;6877,42038;7020,82211;7255,03606;7805,98735;8339,59281;8679,83302;9027,61457;9293,2653;9297,80978;9283,33432;9250,70646;9090,18978;8965,71506;8789,95139;9465,73014;9660,25673;9455,3305;9044,85654;8446,83201;7813,11237;200886,88727
MC-SIN;Demanda_Real;2020-09-05;SABADO;7374,0919;7092,35493;6892,25788;6783,46038;6825,96038;6871,94136;6961,23776;7503,75725;8047,34719;8492,07278;8832,87406;9065,22796;9057,47167;8934,21752;8822,36956;8659,68725;8499,13921;8420,64105;9175,68414;9412,40418;9153,23467;8753,64815;8173,02681;7641,60545;195445,71349
MC-SIN;Demanda_Real;2020-09-06;DOMINGO;7236,5389;6915,63189;6657,03605;6484,78568;6392,67056;6239,79111;6023,8556799999;6328,63621;6730,9872;7057,88618;7310,10495;7526,33408;7706,496;7728,47731;7596,75789;7424,03114;7242,98541;7322,58726;8184,64736;8536,25487;8438,9649;8160,53959;7722,12295;7248,67444;174216,79761
MC-SIN;Demanda_Real;2020-09-07;LUNES;6923,25757;6695,2439;6550,73608;6502,75269;6574,73214;6764,88917;7084,37697;7734,37958;8269,74486;8602,46811;8935,96084;9227,59994;9225,57604;9186,7722;9220,91299;9187,83057;8978,50307;8770,47552;9441,06112;9632,0023399999;9440,88953;8979,45783;8333,57882;7570,89632;197834,0982
MC-SIN;Demanda_Real;2020-09-08;MARTES;7146,48318;6903,16734;6698,73103;6624,56041;6703,51865;6855,3758;7170,09856;7753,31855;8192,19326;8469,28447;8756,3347;8985,93124;8974,7302;8951,12697;9011,68255;8995,13077;8814,35621;8654,09005;9315,06587;9503,23286;9272,4196;8828,6982;8195,27161;7519,9797;196294,78178
MC-SIN;Demanda_Real;2020-09-09;MIERCOLES;7104,06281;6836,53727;6662,9882;6606,5999;6686,79405;6853,29506;7094,58983;7737,42373;8276,58091;8617,71933;8927,26694;9147,735;9121,90472;9117,67611;9194,9419;9171,50925;8925,27393;8677,90785;9363,84249;9535,63753;9305,19854;8828,37017;8193,74384;7614,3875;197601,98686
MC-SIN;Demanda_Real;2020-09-10;JUEVES;7182,30265;6918,07436;6763,3038;6665,80979;6737,66202;6875,26861;7191,82945;7820,31799;8366,2616;8721,34836;9087,7004;9353,11789;9376,34625;9387,68407;9478,76481;9393,08656;9143,1528299999;8946,54855;9622,18373;9813,64579;9617,6491199999;9208,64795;8531,54502;7890,95377;202093,20537
